PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_TACTICS;REQUIREMENTS_SUBTECHNIQUES;REQUIREMENTS_PLATFORMS;REQUIREMENTS_TECHNIQUEURL;REQUIREMENTS_ATTRIBUTES_SERVICES;REQUIREMENTS_ATTRIBUTES_CATEGORIES;REQUIREMENTS_ATTRIBUTES_VALUES;REQUIREMENTS_ATTRIBUTES_COMMENTS;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1546;Event Triggered Execution;Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. Cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.;Privilege Escalation | Persistence;;Google Workspace | IaaS | Linux | Office 365 | Windows | macOS;https://attack.mitre.org/techniques/T1546/;AWS CloudTrail, Amazon GuardDuty, Amazon EventBridge, AWS Lambda;Detect, Detect, Protect, Protect;Significant, Partial, Minimal, Minimal;AWS CloudTrail can detect attempts to establish event-triggered execution mechanisms by monitoring API calls related to EventBridge rules, Lambda function triggers, and CloudWatch Events. CloudTrail logs API calls such as PutRule, PutTargets, and CreateFunction that could indicate adversaries setting up persistence mechanisms. This provides significant detection capability for identifying suspicious event-driven execution patterns., Amazon GuardDuty can detect suspicious patterns related to event-triggered execution through findings like 'Stealth:IAMUser/CloudTrailLoggingDisabled' which may indicate attempts to hide event-driven persistence mechanisms. GuardDuty also monitors for unusual Lambda invocation patterns and suspicious EventBridge rule modifications. The coverage is partial as it focuses on known malicious patterns rather than all possible event-triggered execution methods., Amazon EventBridge can be configured with resource-based policies to restrict who can create rules and targets, providing some protection against unauthorized event-triggered execution mechanisms. However, this is scored as Minimal because EventBridge itself is a common target for adversaries to establish persistence, and protection relies heavily on proper IAM configuration., AWS Lambda can be protected through resource-based policies and execution role restrictions to limit unauthorized function invocations and trigger associations. However, the protection is Minimal as adversaries with sufficient IAM permissions can still establish event-triggered Lambda executions for persistence. Proper IAM and least privilege principles are critical but not always enforced.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1546;Event Triggered Execution;Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. Cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.;Privilege Escalation | Persistence;;Google Workspace | IaaS | Linux | Office 365 | Windows | macOS;https://attack.mitre.org/techniques/T1546/;AWS CloudTrail, Amazon GuardDuty, Amazon EventBridge, AWS Lambda;Detect, Detect, Protect, Protect;Significant, Partial, Minimal, Minimal;AWS CloudTrail can detect attempts to establish event-triggered execution mechanisms by monitoring API calls related to EventBridge rules, Lambda function triggers, and CloudWatch Events. CloudTrail logs API calls such as PutRule, PutTargets, and CreateFunction that could indicate adversaries setting up persistence mechanisms. This provides significant detection capability for identifying suspicious event-driven execution patterns., Amazon GuardDuty can detect suspicious patterns related to event-triggered execution through findings like 'Stealth:IAMUser/CloudTrailLoggingDisabled' which may indicate attempts to hide event-driven persistence mechanisms. GuardDuty also monitors for unusual Lambda invocation patterns and suspicious EventBridge rule modifications. The coverage is partial as it focuses on known malicious patterns rather than all possible event-triggered execution methods., Amazon EventBridge can be configured with resource-based policies to restrict who can create rules and targets, providing some protection against unauthorized event-triggered execution mechanisms. However, this is scored as Minimal because EventBridge itself is a common target for adversaries to establish persistence, and protection relies heavily on proper IAM configuration., AWS Lambda can be protected through resource-based policies and execution role restrictions to limit unauthorized function invocations and trigger associations. However, the protection is Minimal as adversaries with sufficient IAM permissions can still establish event-triggered Lambda executions for persistence. Proper IAM and least privilege principles are critical but not always enforced.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1546;Event Triggered Execution;Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. Cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.;Privilege Escalation | Persistence;;Google Workspace | IaaS | Linux | Office 365 | Windows | macOS;https://attack.mitre.org/techniques/T1546/;AWS CloudTrail, Amazon GuardDuty, Amazon EventBridge, AWS Lambda;Detect, Detect, Protect, Protect;Significant, Partial, Minimal, Minimal;AWS CloudTrail can detect attempts to establish event-triggered execution mechanisms by monitoring API calls related to EventBridge rules, Lambda function triggers, and CloudWatch Events. CloudTrail logs API calls such as PutRule, PutTargets, and CreateFunction that could indicate adversaries setting up persistence mechanisms. This provides significant detection capability for identifying suspicious event-driven execution patterns., Amazon GuardDuty can detect suspicious patterns related to event-triggered execution through findings like 'Stealth:IAMUser/CloudTrailLoggingDisabled' which may indicate attempts to hide event-driven persistence mechanisms. GuardDuty also monitors for unusual Lambda invocation patterns and suspicious EventBridge rule modifications. The coverage is partial as it focuses on known malicious patterns rather than all possible event-triggered execution methods., Amazon EventBridge can be configured with resource-based policies to restrict who can create rules and targets, providing some protection against unauthorized event-triggered execution mechanisms. However, this is scored as Minimal because EventBridge itself is a common target for adversaries to establish persistence, and protection relies heavily on proper IAM configuration., AWS Lambda can be protected through resource-based policies and execution role restrictions to limit unauthorized function invocations and trigger associations. However, the protection is Minimal as adversaries with sufficient IAM permissions can still establish event-triggered Lambda executions for persistence. Proper IAM and least privilege principles are critical but not always enforced.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1546;Event Triggered Execution;Adversaries may establish persistence and/or elevate privileges using system mechanisms that trigger execution based on specific events. Various operating systems have means to monitor and subscribe to events such as logons or other user activity such as running specific applications/binaries. Cloud environments may also support various functions and services that monitor and can be invoked in response to specific cloud events.;Privilege Escalation | Persistence;;Google Workspace | IaaS | Linux | Office 365 | Windows | macOS;https://attack.mitre.org/techniques/T1546/;AWS CloudTrail, Amazon GuardDuty, Amazon EventBridge, AWS Lambda;Detect, Detect, Protect, Protect;Significant, Partial, Minimal, Minimal;AWS CloudTrail can detect attempts to establish event-triggered execution mechanisms by monitoring API calls related to EventBridge rules, Lambda function triggers, and CloudWatch Events. CloudTrail logs API calls such as PutRule, PutTargets, and CreateFunction that could indicate adversaries setting up persistence mechanisms. This provides significant detection capability for identifying suspicious event-driven execution patterns., Amazon GuardDuty can detect suspicious patterns related to event-triggered execution through findings like 'Stealth:IAMUser/CloudTrailLoggingDisabled' which may indicate attempts to hide event-driven persistence mechanisms. GuardDuty also monitors for unusual Lambda invocation patterns and suspicious EventBridge rule modifications. The coverage is partial as it focuses on known malicious patterns rather than all possible event-triggered execution methods., Amazon EventBridge can be configured with resource-based policies to restrict who can create rules and targets, providing some protection against unauthorized event-triggered execution mechanisms. However, this is scored as Minimal because EventBridge itself is a common target for adversaries to establish persistence, and protection relies heavily on proper IAM configuration., AWS Lambda can be protected through resource-based policies and execution role restrictions to limit unauthorized function invocations and trigger associations. However, the protection is Minimal as adversaries with sufficient IAM permissions can still establish event-triggered Lambda executions for persistence. Proper IAM and least privilege principles are critical but not always enforced.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1651;Cloud Administration Command;Adversaries may abuse cloud management services to execute commands within virtual machines or hybrid-joined devices. Resources such as AWS Systems Manager, Azure RunCommand, and Runbooks allow users to remotely run scripts in virtual machines by leveraging installed virtual machine agents. Similarly, in Azure AD environments, Microsoft Endpoint Manager allows Global or Intune Administrators to run scripts as SYSTEM on on-premises devices joined to the Azure AD.;Privilege Escalation | Persistence;;Azure AD | IaaS;https://attack.mitre.org/techniques/T1651/;AWS Systems Manager, AWS CloudTrail, Amazon GuardDuty, AWS Config;Protect, Detect, Detect, Protect;Partial, Significant, Minimal, Minimal;AWS Systems Manager provides Session Manager and Run Command capabilities that can be protected through IAM policies and Session Manager logging. Organizations can restrict who can execute commands on EC2 instances and require session logging to S3 and CloudWatch. However, protection is Partial because authorized administrators with legitimate SSM access could potentially abuse these capabilities for malicious command execution., AWS CloudTrail logs all Systems Manager API calls including SendCommand, StartSession, and other remote execution commands. These logs provide detailed information about who executed commands, on which instances, and when. This enables significant detection capability for identifying suspicious or unauthorized remote command execution attempts through Systems Manager services., Amazon GuardDuty provides limited direct detection for Systems Manager command abuse. While it can detect unusual API call patterns and compromised credentials that might be used to execute remote commands, it doesn't specifically focus on Systems Manager Run Command or Session Manager abuse patterns. Coverage is Minimal and relies more on detecting underlying credential compromise., AWS Config can monitor Systems Manager configuration settings and ensure that Session Manager logging is enabled through custom Config rules. However, it provides only Minimal protection against command execution abuse since it focuses on configuration compliance rather than preventing unauthorized command execution in real-time.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1651;Cloud Administration Command;Adversaries may abuse cloud management services to execute commands within virtual machines or hybrid-joined devices. Resources such as AWS Systems Manager, Azure RunCommand, and Runbooks allow users to remotely run scripts in virtual machines by leveraging installed virtual machine agents. Similarly, in Azure AD environments, Microsoft Endpoint Manager allows Global or Intune Administrators to run scripts as SYSTEM on on-premises devices joined to the Azure AD.;Privilege Escalation | Persistence;;Azure AD | IaaS;https://attack.mitre.org/techniques/T1651/;AWS Systems Manager, AWS CloudTrail, Amazon GuardDuty, AWS Config;Protect, Detect, Detect, Protect;Partial, Significant, Minimal, Minimal;AWS Systems Manager provides Session Manager and Run Command capabilities that can be protected through IAM policies and Session Manager logging. Organizations can restrict who can execute commands on EC2 instances and require session logging to S3 and CloudWatch. However, protection is Partial because authorized administrators with legitimate SSM access could potentially abuse these capabilities for malicious command execution., AWS CloudTrail logs all Systems Manager API calls including SendCommand, StartSession, and other remote execution commands. These logs provide detailed information about who executed commands, on which instances, and when. This enables significant detection capability for identifying suspicious or unauthorized remote command execution attempts through Systems Manager services., Amazon GuardDuty provides limited direct detection for Systems Manager command abuse. While it can detect unusual API call patterns and compromised credentials that might be used to execute remote commands, it doesn't specifically focus on Systems Manager Run Command or Session Manager abuse patterns. Coverage is Minimal and relies more on detecting underlying credential compromise., AWS Config can monitor Systems Manager configuration settings and ensure that Session Manager logging is enabled through custom Config rules. However, it provides only Minimal protection against command execution abuse since it focuses on configuration compliance rather than preventing unauthorized command execution in real-time.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1651;Cloud Administration Command;Adversaries may abuse cloud management services to execute commands within virtual machines or hybrid-joined devices. Resources such as AWS Systems Manager, Azure RunCommand, and Runbooks allow users to remotely run scripts in virtual machines by leveraging installed virtual machine agents. Similarly, in Azure AD environments, Microsoft Endpoint Manager allows Global or Intune Administrators to run scripts as SYSTEM on on-premises devices joined to the Azure AD.;Privilege Escalation | Persistence;;Azure AD | IaaS;https://attack.mitre.org/techniques/T1651/;AWS Systems Manager, AWS CloudTrail, Amazon GuardDuty, AWS Config;Protect, Detect, Detect, Protect;Partial, Significant, Minimal, Minimal;AWS Systems Manager provides Session Manager and Run Command capabilities that can be protected through IAM policies and Session Manager logging. Organizations can restrict who can execute commands on EC2 instances and require session logging to S3 and CloudWatch. However, protection is Partial because authorized administrators with legitimate SSM access could potentially abuse these capabilities for malicious command execution., AWS CloudTrail logs all Systems Manager API calls including SendCommand, StartSession, and other remote execution commands. These logs provide detailed information about who executed commands, on which instances, and when. This enables significant detection capability for identifying suspicious or unauthorized remote command execution attempts through Systems Manager services., Amazon GuardDuty provides limited direct detection for Systems Manager command abuse. While it can detect unusual API call patterns and compromised credentials that might be used to execute remote commands, it doesn't specifically focus on Systems Manager Run Command or Session Manager abuse patterns. Coverage is Minimal and relies more on detecting underlying credential compromise., AWS Config can monitor Systems Manager configuration settings and ensure that Session Manager logging is enabled through custom Config rules. However, it provides only Minimal protection against command execution abuse since it focuses on configuration compliance rather than preventing unauthorized command execution in real-time.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1651;Cloud Administration Command;Adversaries may abuse cloud management services to execute commands within virtual machines or hybrid-joined devices. Resources such as AWS Systems Manager, Azure RunCommand, and Runbooks allow users to remotely run scripts in virtual machines by leveraging installed virtual machine agents. Similarly, in Azure AD environments, Microsoft Endpoint Manager allows Global or Intune Administrators to run scripts as SYSTEM on on-premises devices joined to the Azure AD.;Privilege Escalation | Persistence;;Azure AD | IaaS;https://attack.mitre.org/techniques/T1651/;AWS Systems Manager, AWS CloudTrail, Amazon GuardDuty, AWS Config;Protect, Detect, Detect, Protect;Partial, Significant, Minimal, Minimal;AWS Systems Manager provides Session Manager and Run Command capabilities that can be protected through IAM policies and Session Manager logging. Organizations can restrict who can execute commands on EC2 instances and require session logging to S3 and CloudWatch. However, protection is Partial because authorized administrators with legitimate SSM access could potentially abuse these capabilities for malicious command execution., AWS CloudTrail logs all Systems Manager API calls including SendCommand, StartSession, and other remote execution commands. These logs provide detailed information about who executed commands, on which instances, and when. This enables significant detection capability for identifying suspicious or unauthorized remote command execution attempts through Systems Manager services., Amazon GuardDuty provides limited direct detection for Systems Manager command abuse. While it can detect unusual API call patterns and compromised credentials that might be used to execute remote commands, it doesn't specifically focus on Systems Manager Run Command or Session Manager abuse patterns. Coverage is Minimal and relies more on detecting underlying credential compromise., AWS Config can monitor Systems Manager configuration settings and ensure that Session Manager logging is enabled through custom Config rules. However, it provides only Minimal protection against command execution abuse since it focuses on configuration compliance rather than preventing unauthorized command execution in real-time.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1621;Multi-Factor Authentication Request Generation;Adversaries may attempt to bypass multi-factor authentication (MFA) mechanisms and gain access to accounts by generating MFA requests sent to users.;Credential Access;;Azure AD | Google Workspace | IaaS | Linux | Office 365 | SaaS | Windows | macOS;https://attack.mitre.org/techniques/T1621/;AWS CloudTrail, AWS IAM, Amazon GuardDuty, AWS Security Hub;Detect, Protect, Detect, Detect;Partial, Minimal, Minimal, Minimal;AWS CloudTrail logs authentication events including MFA challenges and responses, which can be analyzed to detect MFA fatigue attacks or unusual patterns of repeated MFA requests. CloudTrail captures events like ConsoleLogin with MFA details, but detection requires correlation and analysis of authentication patterns over time. Coverage is Partial as it provides raw data but requires additional tooling to identify MFA bombing attempts., AWS IAM supports MFA enforcement for users and roles, but provides Minimal direct protection against MFA fatigue attacks. While IAM can require MFA for authentication, it cannot inherently prevent adversaries from generating repeated MFA requests if they have valid credentials. Protection depends heavily on user awareness and proper MFA device configuration., Amazon GuardDuty provides Minimal specific detection for MFA request generation attacks. While GuardDuty can detect credential compromise and unusual authentication patterns, it does not specifically identify MFA fatigue or bombing attacks where adversaries generate excessive MFA requests to tire users into approving them., AWS Security Hub can aggregate findings related to authentication anomalies from various sources, but provides only Minimal direct detection of MFA request generation attacks. Security Hub relies on integrated services to detect authentication issues and does not natively analyze MFA request patterns or frequency to identify potential MFA fatigue attacks.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
aws;MITRE ATT&CK® is a globally-accessible knowledge base of adversary tactics and techniques based on real-world observations. The ATT&CK knowledge base is used as a foundation for the development of specific threat models and methodologies in the private sector, in government, and in the cybersecurity product and service community.;;;2026-07-10 20:52:06.368954;T1621;Multi-Factor Authentication Request Generation;Adversaries may attempt to bypass multi-factor authentication (MFA) mechanisms and gain access to accounts by generating MFA requests sent to users.;Credential Access;;Azure AD | Google Workspace | IaaS | Linux | Office 365 | SaaS | Windows | macOS;https://attack.mitre.org/techniques/T1621/;AWS CloudTrail, AWS IAM, Amazon GuardDuty, AWS Security Hub;Detect, Protect, Detect, Detect;Partial, Minimal, Minimal, Minimal;AWS CloudTrail logs authentication events including MFA challenges and responses, which can be analyzed to detect MFA fatigue attacks or unusual patterns of repeated MFA requests. CloudTrail captures events like ConsoleLogin with MFA details, but detection requires correlation and analysis of authentication patterns over time. Coverage is Partial as it provides raw data but requires additional tooling to identify MFA bombing attempts., AWS IAM supports MFA enforcement for users and roles, but provides Minimal direct protection against MFA fatigue attacks. While IAM can require MFA for authentication, it cannot inherently prevent adversaries from generating repeated MFA requests if they have valid credentials. Protection depends heavily on user awareness and proper MFA device configuration., Amazon GuardDuty provides Minimal specific detection for MFA request generation attacks. While GuardDuty can detect credential compromise and unusual authentication patterns, it does not specifically identify MFA fatigue or bombing attacks where adversaries generate excessive MFA requests to tire users into approving them., AWS Security Hub can aggregate findings related to authentication anomalies from various sources, but provides only Minimal direct detection of MFA request generation attacks. Security Hub relies on integrated services to detect authentication issues and does not natively analyze MFA request patterns or frequency to identify potential MFA fatigue attacks.;MANUAL;Manual check;manual_check;manual;False;Manual check;MITRE-ATTACK;MITRE ATT&CK compliance framework
