PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_FAMILYNAME;REQUIREMENTS_ATTRIBUTES_FAMILYDESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTIONOBJECTIVE;REQUIREMENTS_ATTRIBUTES_APPLICABILITY;REQUIREMENTS_ATTRIBUTES_RECOMMENDATION;REQUIREMENTS_ATTRIBUTES_SECTIONTHREATMAPPINGS;REQUIREMENTS_ATTRIBUTES_SECTIONGUIDELINEMAPPINGS;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.DataWar.CN01.AR01;Attempt to access underlying database tables directly without using managed views and verify that access is denied.;Data;TODO: Describe this control family;CCC.DataWar.CN01 Enforce Use of Managed Views for Data Access;;Ensure that data access is provided through managed views, restricting users from accessing underlying tables directly and enforcing consistent security policies.;['tlp-red', 'tlp-amber'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.TH01']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.AC-4']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AC-3', 'AC-6']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.DataWar.CN02.AR01;Attempt to query sensitive columns without the necessary permissions and verify that access is denied or data is masked.;Data;TODO: Describe this control family;CCC.DataWar.CN02 Enforce Column-Level Security Policies;;Ensure that access to sensitive data columns is restricted based on user roles, preventing unauthorized access to sensitive information.;['tlp-red', 'tlp-amber'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.TH01']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.AC-4']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AC-3', 'AC-6']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.DataWar.CN03.AR01;Attempt to query data rows that the user should not have access to and verify that access is denied or data is not returned.;Data;TODO: Describe this control family;CCC.DataWar.CN03 Enforce Row-Level Security Policies;;Ensure that access to data rows is restricted based on user roles or attributes, preventing unauthorized access to specific subsets of data.;['tlp-red', 'tlp-amber'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.TH01']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.AC-4']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['AC-3', 'AC-6']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.LB.CN07.AR01;"When responses pass through the load balancer, the ""Server"" header MUST be replaced with ""lb"".";Data;Controls that preserve availability and confidentiality of traffic processed by the load balancer. ;CCC.LB.CN07 Scrub Sensitive Headers;;Remove headers that disclose internal details or software versions from HTTP responses.;['tlp-green', 'tlp-amber', 'tlp-red'];Configure header-transformation rules.;[{'ReferenceId': 'LB', 'Identifiers': ['CCC.TH15']}];[{'ReferenceId': 'NIST-CSF', 'Identifiers': ['PR.DS-2']}, {'ReferenceId': 'NIST_800_53', 'Identifiers': ['SC-13']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.Vector.CN01.AR01;When a vector embedding is submitted for indexing, the system MUST validate that it matches expected schema, dimension, and format profiles.;Vector Indexing;Controls specific to the management and protection of vector embedding and index operations.;CCC.Vector.CN01 Validate Embeddings Before Indexing;;Ensure all incoming embeddings are structurally and statistically validated before indexing to prevent poisoning or corruption.;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Vector.TH02', 'CCC.Vector.TH05', 'CCC.TH12']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-PREV-002']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.Vector.CN03.AR01;When a metadata filter is applied to a query, the service MUST verify the requester is authorized to access that field.;Vector Indexing;Controls specific to the management and protection of vector embedding and index operations.;CCC.Vector.CN03 Enforce Metadata-Level Access Controls;;Apply access control policies to metadata fields used in filtering to prevent unauthorized exposure or inference.;['tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Vector.TH03', 'CCC.TH01']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-DET-001', 'AIR-PREV-012', 'AIR-DET-016']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.Vector.CN04.AR01;When ingestion exceeds pre-defined thresholds, the service MUST throttle or reject excess vector write operations.;Vector Indexing;Controls specific to the management and protection of vector embedding and index operations.;CCC.Vector.CN04 Enforce Ingestion Quotas and Throttling;;Prevent ingestion-based DoS or index pollution by rate-limiting vector submissions and enforcing quotas.;['tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Vector.TH02', 'CCC.TH12']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-PREV-008']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.Vector.CN05.AR01;When a rollback is attempted, the system MUST log the action and verify rollback authorization.;Vector Indexing;Controls specific to the management and protection of vector embedding and index operations.;CCC.Vector.CN05 Enforce Index Versioning with Rollback Protection;;Ensure vector indexes are versioned and that rollback operations are authorized and auditable.;['tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Vector.TH04', 'CCC.TH09', 'CCC.TH04']}];[{'ReferenceId': 'AIR-DET-004', 'Identifiers': ['AIR-PREV-008']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.Vector.CN06.AR01;When an embedding is submitted, the service MUST validate that its format and dimensionality match allowed profiles.;Vector Indexing;Controls specific to the management and protection of vector embedding and index operations.;CCC.Vector.CN06 Enforce Dimensional and Format Constraints;;Reject embeddings that do not conform to expected model specifications (dimensions, format, etc).;['tlp-clear', 'tlp-green', 'tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Vector.TH05', 'CCC.TH06']}];[{'ReferenceId': 'FINOS-AIGF', 'Identifiers': ['AIR-PREV-002']}];MANUAL;Manual check;manual_check;Manual check;manual;False
aws;Common Cloud Controls Catalog (CCC) for AWS;;;2026-07-10 21:26:29.483257;CCC.Vector.CN07.AR01;When a search request is issued, clients MUST be allowed to declare their requirement for exact vs approximate results.;Vector Indexing;Controls specific to the management and protection of vector embedding and index operations.;CCC.Vector.CN07 Support Explicit ANN vs. Exact Search Configuration;;Provide clients with the option to enforce exact-match (non-ANN) search where search fidelity is critical.;['tlp-amber', 'tlp-red'];;[{'ReferenceId': 'CCC', 'Identifiers': ['CCC.Vector.TH06']}];[];MANUAL;Manual check;manual_check;Manual check;manual;False
