PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_NAME;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_DOMAIN;REQUIREMENTS_ATTRIBUTES_SUBDOMAIN;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_AUDITCHECKLIST;REQUIREMENTS_ATTRIBUTES_RELATEDREGULATIONS;REQUIREMENTS_ATTRIBUTES_AUDITEVIDENCE;REQUIREMENTS_ATTRIBUTES_NONCOMPLIANCECASES;STATUS;STATUSEXTENDED;RESOURCEID;RESOURCENAME;CHECKID;MUTED;FRAMEWORK;NAME
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;2.10.2;Cloud Security;When using cloud services, protection measures must be established and implemented for administrator access and security settings to prevent unauthorized access and configuration errors that could lead to the leakage or exposure of critical information and personal data, depending on the service type (SaaS, PaaS, IaaS, etc.).;2. Control Measures Requirements;2.10 System and Service Security Management;2.10.2 Cloud Security;['Is the responsibility and role for information protection and personal information protection clearly defined with the cloud service provider, and is it reflected in contracts (such as SLA)?', 'Are security risks based on the service type evaluated when using cloud services, and are security control policies established and implemented, including security configurations and setting standards, security setting changes and approval procedures, secure connection methods, and authority systems to prevent unauthorized access and configuration errors?', 'Are administrator privileges for cloud services granted minimally according to roles, and are enhanced protection measures such as strengthened authentication, encryption, access control, and audit logs applied to prevent unauthorized access and abuse of privileges?', 'Is the monitoring of cloud service security setting changes and operation status conducted, and is the appropriateness of these settings reviewed regularly?'];[];['Cloud service-related contracts and SLA', 'Cloud service risk analysis results', 'Cloud service security control policies', 'Cloud service administrator privilege assignment status', 'Cloud service architecture diagram', 'Cloud service security setting status', 'Cloud service security setting appropriateness review history'];['Case 1: The cloud service contract does not include responsibilities and roles related to security.', 'Case 2: Employees without a business need have been excessively granted permissions to change the security settings of the cloud service.', 'Case 3: Internal guidelines require security officer approval when changing access control rules in the private network of the cloud, but many access control rules were registered or changed without following the approval procedure.', 'Case 4: Due to security setting errors in the cloud service, internal log files were exposed to the internet.'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Contact Information.;arn:aws:iam::195304366889:root;195304366889;account_maintain_current_contact_details;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;2.10.2;Cloud Security;When using cloud services, protection measures must be established and implemented for administrator access and security settings to prevent unauthorized access and configuration errors that could lead to the leakage or exposure of critical information and personal data, depending on the service type (SaaS, PaaS, IaaS, etc.).;2. Control Measures Requirements;2.10 System and Service Security Management;2.10.2 Cloud Security;['Is the responsibility and role for information protection and personal information protection clearly defined with the cloud service provider, and is it reflected in contracts (such as SLA)?', 'Are security risks based on the service type evaluated when using cloud services, and are security control policies established and implemented, including security configurations and setting standards, security setting changes and approval procedures, secure connection methods, and authority systems to prevent unauthorized access and configuration errors?', 'Are administrator privileges for cloud services granted minimally according to roles, and are enhanced protection measures such as strengthened authentication, encryption, access control, and audit logs applied to prevent unauthorized access and abuse of privileges?', 'Is the monitoring of cloud service security setting changes and operation status conducted, and is the appropriateness of these settings reviewed regularly?'];[];['Cloud service-related contracts and SLA', 'Cloud service risk analysis results', 'Cloud service security control policies', 'Cloud service administrator privilege assignment status', 'Cloud service architecture diagram', 'Cloud service security setting status', 'Cloud service security setting appropriateness review history'];['Case 1: The cloud service contract does not include responsibilities and roles related to security.', 'Case 2: Employees without a business need have been excessively granted permissions to change the security settings of the cloud service.', 'Case 3: Internal guidelines require security officer approval when changing access control rules in the private network of the cloud, but many access control rules were registered or changed without following the approval procedure.', 'Case 4: Due to security setting errors in the cloud service, internal log files were exposed to the internet.'];MANUAL;Login to the AWS Console. Choose your account name on the top right of the window -> My Account -> Alternate Contacts -> Security Section.;arn:aws:iam::195304366889:root;195304366889;account_security_contact_information_is_registered;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;2.5.1;User Account Management;To control unauthorized access to information systems, personal information, and critical information, organizations must establish and implement procedures for user registration, termination, and granting, changing, or revoking access rights, ensuring that access rights are granted only to the minimum necessary for work purposes. Additionally, when registering or granting user rights, it must be made clear to users that they are responsible for the security of their accounts.;2. Control Measures Requirements;2.5 Authentication and Access Management;2.5.1 User Account Management;['Has the organization established and implemented formal procedures for registering, changing, and deleting user accounts and access rights to information systems, personal information, and critical information?', 'When creating and registering user accounts and access rights to information systems, personal information, and critical information, is access limited to the minimum necessary for each job based on the job-specific access classification system?', 'When granting users accounts and access rights, are they made fully aware that they are responsible for the security of those accounts?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 5 (Management of Access Rights)'];['User account and access request forms', 'User account and access management log or screen', 'Access classification table for information systems and personal information processing systems', 'Lists of users, administrators, and personal information handlers for each information system and personal information processing system'];['Case 1: User registration, termination, and approval procedures for accounts and permissions for users and personal information handlers were processed through verbal requests, email, etc., without proper approval and handling records.', 'Case 2: A personal information handler shared their account with an unauthorized individual for backup purposes during vacations, business trips, or other absences without going through official procedures.', 'Case 3: Users of information systems or personal information processing systems were granted excessive permissions, allowing access to unnecessary information or personal data.'];MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::195304366889:root;195304366889;account_security_questions_are_registered_in_the_aws_account;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;2.5.3;User Authentication;User access to information systems, personal information, and critical information must be secured through safe authentication procedures and, if necessary, enhanced authentication methods. In addition, access control measures such as limiting login attempts and issuing warnings for illegal login attempts must be established and implemented.;2. Control Measures Requirements;2.5 Authentication and Access Management;2.5.3 User Authentication;['Is access to information systems and personal information processing systems controlled through secure user authentication procedures, login attempt limitations, and warnings for illegal login attempts?', 'When accessing personal information processing systems from outside via a communication network, are secure authentication methods or secure access measures applied in accordance with legal requirements?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 5 (Management of Access Rights), Article 6 (Access Control)'];['Login screen for information systems and personal information processing systems', 'Login attempt limitation setting screen', 'Login failure message screen', 'Procedures for external access (e.g., external access request forms, list of external accessors)'];['Case 1: When a personal information handler accesses a personal information processing system through the public external internet, secure authentication methods are not applied, and authentication is done only through ID and password.', 'Case 2: In the login process for information systems and personal information processing systems, detailed messages are displayed about whether the ID exists or the password is incorrect, and there is no limit on login failure attempts.'];MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::195304366889:root;195304366889;account_security_questions_are_registered_in_the_aws_account;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;195304366889;eu-north-1;2026-07-10 21:26:29.483257;2.10.2;Cloud Security;When using cloud services, protection measures must be established and implemented for administrator access and security settings to prevent unauthorized access and configuration errors that could lead to the leakage or exposure of critical information and personal data, depending on the service type (SaaS, PaaS, IaaS, etc.).;2. Control Measures Requirements;2.10 System and Service Security Management;2.10.2 Cloud Security;['Is the responsibility and role for information protection and personal information protection clearly defined with the cloud service provider, and is it reflected in contracts (such as SLA)?', 'Are security risks based on the service type evaluated when using cloud services, and are security control policies established and implemented, including security configurations and setting standards, security setting changes and approval procedures, secure connection methods, and authority systems to prevent unauthorized access and configuration errors?', 'Are administrator privileges for cloud services granted minimally according to roles, and are enhanced protection measures such as strengthened authentication, encryption, access control, and audit logs applied to prevent unauthorized access and abuse of privileges?', 'Is the monitoring of cloud service security setting changes and operation status conducted, and is the appropriateness of these settings reviewed regularly?'];[];['Cloud service-related contracts and SLA', 'Cloud service risk analysis results', 'Cloud service security control policies', 'Cloud service administrator privilege assignment status', 'Cloud service architecture diagram', 'Cloud service security setting status', 'Cloud service security setting appropriateness review history'];['Case 1: The cloud service contract does not include responsibilities and roles related to security.', 'Case 2: Employees without a business need have been excessively granted permissions to change the security settings of the cloud service.', 'Case 3: Internal guidelines require security officer approval when changing access control rules in the private network of the cloud, but many access control rules were registered or changed without following the approval procedure.', 'Case 4: Due to security setting errors in the cloud service, internal log files were exposed to the internet.'];MANUAL;Login to the AWS Console as root. Choose your account name on the top right of the window -> My Account -> Configure Security Challenge Questions.;arn:aws:iam::195304366889:root;195304366889;account_security_questions_are_registered_in_the_aws_account;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;;;2026-07-10 21:26:29.483257;1.1.1;Executive Participation;The CEO must establish and operate a reporting and decision-making system to ensure executive participation in the establishment and operation of the information protection and personal information protection management system.;1. Establishment and Operation of the Management System;1.1 Management System;1.1.1 Executive Participation;['Is there documentation outlining the responsibilities and roles of executives to ensure their participation in the establishment and operation of the information protection and personal information protection management system?', 'Is there a reporting, review, and approval process in place to ensure that executives actively participate in decision-making regarding information protection and personal information protection activities?'];[];['Information protection and personal information protection reporting system (e.g., communication plan)', 'Minutes of the Information Protection and Personal Information Protection Committee', 'Information protection and personal information protection policies/guidelines (including executive approval records)', 'Information protection plans and internal management plans (including executive approval records)', 'Information protection and personal information protection organization chart'];['Case 1: Although it is stated in the information protection and personal information protection policy to report the status of information protection and personal information protection to the executives on a quarterly basis, no such reports have been made for an extended period.', 'Case 2: In performing major information protection activities (e.g., risk assessment, determining risk acceptance levels, reviewing information protection measures and implementation plans, reviewing the results of information protection measures, security audits, etc.), executives or those authorized by the executives did not participate in decision-making or there was no evidence of their involvement.'];MANUAL;Manual check;manual_check;Manual check;manual;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;;;2026-07-10 21:26:29.483257;1.1.2;Designation of Chief Officers;The CEO must appoint a Chief Information Security Officer (CISO) responsible for information protection and a Chief Privacy Officer (CPO) responsible for personal information protection, both at an executive level with authority to allocate resources such as budget and personnel.;1. Establishment and Operation of the Management System;1.1 Management System;1.1.2 Designation of Chief Officers;['Has the CEO officially designated a chief officer responsible for overseeing information protection and personal information protection?', 'Are the CISO and CPO appointed at an executive level with authority to allocate resources such as budget and personnel, and do they meet the qualifications required by relevant laws?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures), Article 31 (Designation of a Personal Information Protection Officer)', 'Information and Communications Network Act, Article 45-3 (Designation of a Chief Information Security Officer, etc.)', 'Standards for Ensuring the Safety of Personal Information, Article 4 (Establishment, Implementation, and Inspection of Internal Management Plans)'];['Documents related to the appointment of the CISO and CPO (e.g., personnel orders, personnel records)', 'Information protection and personal information protection organization chart', 'Information protection and personal information protection policies/guidelines', 'Job descriptions (roles and responsibilities of the CISO and CPO)', 'Records of CISO reports', 'Internal management plans (regarding the appointment of the CPO)'];['Case 1: Failure to appoint and report a CISO as required under the Information and Communications Network Act, even though the organization is obligated to do so.', 'Case 2: Appointing a person without substantial authority and status as the CPO, making it difficult to believe that they are responsible for overseeing personal information processing.', 'Case 3: Although the organization chart specifies the CISO and CPO, the formal appointment process, such as issuing personnel orders, was not followed.', 'Case 4: Although the entity is subject to ISMS certification and had over 5 trillion won in assets at the end of the previous year, the CISO also holds the position of CIO, in violation of the ISMS requirements.'];MANUAL;Manual check;manual_check;Manual check;manual;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;;;2026-07-10 21:26:29.483257;1.1.3;Organization Structure;The CEO must establish and operate a working group to effectively implement information protection and personal information protection, a committee that can review and approve key matters related to information protection and personal information protection across the organization, and a consultative body consisting of department-level information protection and personal information protection officers for enterprise-wide protection activities.;1. Establishment and Operation of the Management System;1.1 Management System;1.1.3 Organization Structure;"[""Has the organization established and operated a working group with expertise to support the work of the CISO and CPO and systematically implement the organization's information protection and personal information protection activities?"", 'Has the organization established and operated a committee that can review, approve, and make decisions on important information protection and personal information protection matters across the organization?', 'Has the organization established and operated a working group composed of information protection and personal information protection officers and department-level personnel for enterprise-wide information protection and personal information protection activities?']";['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 4 (Establishment, Implementation, and Inspection of Internal Management Plans)'];['Information protection and personal information protection committee regulations/minutes', 'Information protection and personal information protection working group regulations/minutes', 'Information protection and personal information protection organization chart', 'Internal management plan', 'Job descriptions'];"[""Case 1: The Information Protection and Personal Information Protection Committee was established, but it consists only of department heads without the inclusion of executives, making it difficult to make decisions on the organization's key information and personal information protection matters."", 'Case 2: Although a working group for information protection and personal information protection was established, including heads of departments that handle important information and personal data, it has not been active for an extended period.', 'Case 3: Although the Information Protection and Personal Information Protection Committee was convened, major matters such as the annual information protection and personal information protection plan, training plan, budget, and personnel were not reviewed or decided upon.', 'Case 4: Although an Information Protection Committee was established for deliberation and decision-making on information protection and personal information protection matters, only the operations and IT security departments participated, without the involvement of departments responsible for personal information protection, leaving personal information protection matters undecided.']";MANUAL;Manual check;manual_check;Manual check;manual;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;;;2026-07-10 21:26:29.483257;1.1.4;Scope Setting;The organization must set the scope of the management system by considering its core services and the current state of personal information processing, and document the related services, personal information processing tasks, organizations, assets, and physical locations.;1. Establishment and Operation of the Management System;1.1 Management System;1.1.4 Scope Setting;['Has the organization set the scope of the management system to include key assets that may affect core services and personal information processing?', 'If there are exceptions within the defined scope, are clear reasons documented, and are consultations with relevant stakeholders and approvals from responsible parties recorded and managed?', 'Is the organization maintaining documentation that includes the major services, operational status, and systems, allowing for clear verification of the scope of the information protection and personal information protection management system?'];[];['Scope definition document for information protection and personal information protection management system', 'List of information assets and personal information', 'Document list', 'Service flowchart', 'Personal information flowchart', 'Organization-wide organizational chart', 'System and network configuration diagram'];"[""Case 1: The development and test systems, external staff, PCs, and test devices related to the development work for information systems and personal information processing systems were omitted from the management system's scope."", 'Case 2: Key organizations (personnel) in departments and business units that play critical roles in decision-making for services or businesses within the scope of the information protection and personal information protection management system were not included in the certification scope.', ""Case 3: The development and test systems, developer PCs, test devices, and development organizations related to the development work for information systems and personal information processing systems were omitted from the management system's scope.""]";MANUAL;Manual check;manual_check;Manual check;manual;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
aws;The ISMS-P certification, established by KISA (Korea Internet & Security Agency), is a system where an independent certification body evaluates whether a company or organization's information security and privacy protection measures comply with certification standards, and grants certification. This helps organizations improve public trust in their services and respond effectively to increasingly complex cyber threats. The ISMS-P framework also provides comprehensive guidelines for systematically establishing, implementing, and managing information security and privacy protection.;;;2026-07-10 21:26:29.483257;1.1.5;Policy Establishment;The organization must establish and document information protection and personal information protection policies and implementation documents, clearly stating the organization's information protection and personal information protection guidelines and direction. These policies and implementation documents must be approved by the executive management and communicated in an understandable form to employees and relevant parties.;1. Establishment and Operation of the Management System;1.1 Management System;1.1.5 Policy Establishment;['Has the organization established a top-level information protection and personal information protection policy that serves as the foundation for all information protection and personal information protection activities?', 'Has the organization established detailed guidelines, procedures, and manuals specifying the methods, processes, and frequencies required to implement the information protection and personal information protection policies?', 'Are the information protection and personal information protection policies and implementation documents approved by the CEO or by someone delegated by the CEO when newly established or revised?', 'Are the latest versions of the information protection and personal information protection policies and implementation documents provided to relevant employees in an easily understandable format?'];['Personal Information Protection Act, Article 29 (Obligation to Take Safety Measures)', 'Standards for Ensuring the Safety of Personal Information, Article 4 (Establishment, Implementation, and Inspection of Internal Management Plans)'];['Information protection and personal information protection policies/guidelines/procedures (including records of new/revised versions)', 'Meeting minutes of stakeholder reviews of newly established/revised information protection and personal information protection policies/guidelines/procedures', 'Internal management plans for personal information', 'Notifications of new/revised information protection and personal information protection policies/guidelines (via groupware, intranet, etc.)', 'Minutes of the Information Protection and Personal Information Protection Committee'];['Case 1: Although internal regulations stipulate that revisions to the information protection and personal information protection policies must be approved by the Information Protection and Personal Information Protection Committee, recent revisions were made solely based on the approval of the CISO and CPO without presenting the revisions to the committee.', 'Case 2: The information protection and personal information protection policies and guidelines were recently revised, but these changes were not communicated to relevant departments and employees, leading some departments to continue operating based on outdated guidelines.', 'Case 3: The information protection and personal information protection policies and guidelines are managed solely by the security department and are not made available for employees to access through bulletin boards or documents.'];MANUAL;Manual check;manual_check;Manual check;manual;False;KISA-ISMS-P;KISA ISMS compliance framework 2023
